"tournamentMode","strategyName","pointsForStrategy","nbTurnTheoric","nbTurnReal","populationSize","nbPersonForStrategy","nbPointByPersonByStrategy","nbPointRatio"
"COPIE","MajorMou","68096","1001","1001","1001","68","1001,4117647058823","1,0004113533525298"
"COPIE","CycliqueTendanceCasanier","81761","1001","1001","1001","82","997,0853658536586","0,9960892765770815"
"COPIE","Mefiant","78000","1001","1001","1001","78","1000,0","0,999000999000999"
"COPIE","Fetard","90674","1001","1001","1001","91","996,4175824175824","0,995422160257325"
"COPIE","EasyGo","82328","1001","1001","1001","82","1004,0","1,002997002997003"
"COPIE","SondeurIntelligent","75150","1001","1001","1001","75","1002,0","1,000999000999001"
"COPIE","SondeurFou","77231","1001","1001","1001","77","1003,0","1,001998001998002"
"COPIE","Pavlovien","74222","1001","1001","1001","74","1003,0","1,001998001998002"
"COPIE","CycliqueTendanceFetard","81486","1001","1001","1001","81","1006,0","1,004995004995005"
"COPIE","Casanier","70070","1001","1001","1001","70","1001,0","1,0"
"COPIE","Rancunier","61061","1001","1001","1001","61","1001,0","1,0"
"COPIE","Pavlovien","101635","1101","1101","1101","87","1168,2183908045977","1,0610521260713874"
"COPIE","Lunatique","107209","1101","1101","1101","97","1105,2474226804125","1,0038577862674045"
"COPIE","HardJoss","189762","1101","1101","1101","169","1122,8520710059172","1,0198474759363463"
"COPIE","SondeurFou","94689","1101","1101","1101","81","1169,0","1,0617620345140781"
"COPIE","MajorMou","54960","1101","1101","1101","50","1099,2","0,9983651226158039"
"COPIE","Fetard","133164","1101","1101","1101","116","1147,9655172413793","1,0426571455416707"
"COPIE","Mefiant","95787","1101","1101","1101","87","1101,0","1,0"
"COPIE","EasyGo","114660","1101","1101","1101","98","1170,0","1,0626702997275204"
"COPIE","Rancunier","92484","1101","1101","1101","84","1101,0","1,0"
"COPIE","CycliqueTendanceFetard","93600","1101","1101","1101","80","1170,0","1,0626702997275204"
"COPIE","SondeurIntelligent","80446","1101","1101","1101","73","1102,0","1,0009082652134422"
"COPIE","Casanier","86979","1101","1101","1101","79","1101,0","1,0"
